Combo_ID,LEN
60001,32.0
83578,1.0
84067,1.0
84442,1.0
84455,1.0
84460,2.0
84598,1.0
84614,1.0
84626,1.0
84630,2.0
84633,2.0
84660,2.0
84676,1.0
84693,3.0
84717,1.0
84718,1.0
84734,1.0
84735,16.0
84741,1.0
84742,1.0
84772,1.0
84773,1.0
84784,1.0
84785,2.0
84786,3.0
84787,1.0
84806,1.0
84809,1.0
84810,1.0
84812,1.0
84814,1.0
84818,1.0
84821,1.0
84822,1.0
84823,1.0
84824,1.0
84825,1.0
84826,6.0
84828,1.0
84862,3.0
84923,1.0
84926,1.0
84945,1.0
84946,1.0
84951,1.0
84952,1.0
84953,1.0
84954,1.0
84955,1.0
84956,1.0
84957,1.0
84958,1.0
84964,1.0
84965,1.0
84966,1.0
84969,1.0
84970,1.0
84973,1.0
84975,1.0
84977,1.0
84978,1.0
84979,1.0
84981,1.0
84983,1.0
84986,3.0
84987,1.0
84989,1.0
84991,1.0
84992,1.0
84996,1.0
84997,1.0
84998,1.0
84999,2.0
85000,1.0
85002,1.0
85003,1.0
85004,1.0
85005,3.0
85007,1.0
85009,1.0
85010,1.0
85011,1.0
85012,1.0
85015,1.0
85016,1.0
85017,1.0
85018,1.0
85019,1.0
85021,1.0
85023,1.0
85026,1.0
85027,1.0
85028,1.0
85031,1.0
85032,1.0
85035,1.0
85036,1.0
85037,1.0
85038,1.0
85039,1.0
85040,1.0
85041,1.0
85043,1.0
85044,1.0
85045,1.0
85049,3.0
85050,1.0
85051,1.0
85056,1.0
85057,1.0
85059,1.0
85060,1.0
85061,1.0
85062,1.0
85063,1.0
85064,1.0
85065,1.0
85070,1.0
85073,1.0
85074,2.0
85084,1.0
85085,1.0
85086,1.0
85087,1.0
85088,1.0
85089,1.0
85090,1.0
85091,1.0
85092,1.0
85093,1.0
85096,1.0
85098,1.0
85099,1.0
85100,12.0
85102,1.0
85104,1.0
85105,1.0
85106,1.0
85107,1.0
85108,1.0
85109,1.0
85110,1.0
85112,1.0
85117,1.0
85118,4.0
85119,1.0
85120,1.0
85121,2.0
85122,1.0
85123,1.0
85124,1.0
85135,1.0
85139,1.0
85140,1.0
85141,1.0
85142,1.0
85143,1.0
85150,0.0
85154,1.0
85155,1.0
85156,1.0
85222,1.0
85223,1.0
85224,1.0
85226,1.0
85227,1.0
85228,1.0
85229,1.0
85230,1.0
85231,1.0
85238,1.0
85251,1.0
85252,7.0
85254,1.0
85255,1.0
85257,1.0
85258,1.0
85259,1.0
85260,1.0
85261,1.0
85263,1.0
85264,1.0
85266,1.0
85267,1.0
85270,4.0
85271,1.0
85272,1.0
85273,1.0
85274,1.0
85275,1.0
85276,1.0
85279,1.0
85280,1.0
85281,1.0
85282,1.0
85284,1.0
85285,1.0
85286,1.0
85288,1.0
85289,1.0
85291,1.0
85294,1.0
85295,1.0
85296,1.0
85297,1.0
85299,1.0
85300,1.0
85304,1.0
85305,2.0
85306,2.0
85307,1.0
85337,9.0
85338,1.0
85339,1.0
85340,1.0
85342,1.0
85345,2.0
85347,1.0
85350,1.0
85351,1.0
85352,1.0
85353,1.0
85354,1.0
85355,1.0
85358,21.0
85359,1.0
85361,1.0
85362,1.0
85363,1.0
85364,1.0
85365,1.0
85366,1.0
85367,1.0
85368,1.0
85369,1.0
85370,1.0
85371,1.0
85372,1.0
85373,1.0
85374,1.0
85375,1.0
85376,4.0
85377,2.0
85378,1.0
85379,1.0
85380,1.0
85381,1.0
85382,1.0
85385,1.0
85386,1.0
85390,1.0
85391,1.0
85392,2.0
85394,1.0
85395,4.0
85397,1.0
85398,1.0
85401,1.0
85402,5.0
85403,1.0
85408,1.0
85410,1.0
85425,1.0
85431,1.0
85435,1.0
85437,1.0
85438,1.0
85439,1.0
85440,1.0
85441,1.0
85443,1.0
85444,1.0
85446,1.0
85448,1.0
85449,1.0
85450,1.0
85451,1.0
85452,1.0
85454,1.0
85455,4.0
85458,1.0
85460,5.0
85461,1.0
85462,1.0
85463,1.0
85465,1.0
85466,1.0
85467,1.0
85469,2.0
85470,1.0
85471,2.0
85472,1.0
85473,1.0
85474,2.0
85475,2.0
85478,5.0
85480,1.0
85481,1.0
85482,1.0
85483,1.0
85484,1.0
85485,1.0
85486,1.0
85487,1.0
85492,1.0
85493,1.0
85494,1.0
85495,1.0
85496,1.0
85497,1.0
85498,1.0
85499,5.0
85502,4.0
85504,1.0
85506,1.0
85509,1.0
85510,1.0
85511,1.0
85512,2.0
85513,1.0
85515,1.0
85516,8.0
85517,3.0
85518,4.0
85520,2.0
85521,1.0
85523,1.0
85524,1.0
85525,1.0
85528,1.0
85529,1.0
85530,1.0
85532,1.0
85533,4.0
85534,1.0
85535,1.0
85539,1.0
85540,1.0
85541,1.0
85543,1.0
85544,1.0
85545,1.0
85546,1.0
85547,1.0
85548,1.0
85550,1.0
85551,1.0
85553,1.0
85554,1.0
85555,1.0
85556,1.0
85557,1.0
85558,1.0
85559,1.0
85560,1.0
85561,1.0
85562,1.0
85563,1.0
85564,1.0
85565,1.0
85566,1.0
85568,1.0
85573,1.0
85574,1.0
85575,1.0
85576,1.0
85577,1.0
85578,1.0
85579,1.0
85583,1.0
85584,1.0
85585,1.0
85586,1.0
85587,2.0
85589,1.0
85590,1.0
85591,1.0
85592,1.0
85593,1.0
85594,1.0
85595,1.0
85596,1.0
85598,28.0
85599,1.0
85600,1.0
85601,1.0
85602,5.0
85603,1.0
85604,1.0
85606,1.0
85608,1.0
85609,4.0
85610,1.0
85612,1.0
85613,1.0
85614,1.0
85615,1.0
85617,1.0
85618,1.0
85619,1.0
85620,1.0
85622,1.0
85647,1.0
85648,1.0
85651,1.0
85653,1.0
85654,1.0
85655,1.0
85656,1.0
85657,1.0
85659,1.0
85660,1.0
85662,1.0
85665,5.0
85666,1.0
85668,1.0
85669,1.0
85670,1.0
85671,1.0
85673,1.0
85674,1.0
85675,1.0
85676,1.0
85677,1.0
85678,4.0
85679,1.0
85680,1.0
85681,1.0
85683,2.0
85684,1.0
85685,3.0
85686,1.0
85688,1.0
85690,3.0
85691,1.0
85692,1.0
85694,1.0
85695,1.0
85696,1.0
85697,1.0
85698,1.0
85699,1.0
85700,1.0
85706,1.0
85708,1.0
85709,1.0
85710,1.0
85711,1.0
85712,1.0
85715,1.0
85719,1.0
85722,1.0
85723,1.0
85725,2.0
85727,1.0
85728,1.0
85729,1.0
85730,1.0
85731,1.0
85732,1.0
85733,1.0
85734,3.0
85735,1.0
85736,1.0
85738,1.0
85739,1.0
85740,1.0
85741,1.0
85742,1.0
85743,1.0
85744,1.0
85746,5.0
85747,1.0
85748,1.0
85750,1.0
85752,1.0
85753,1.0
85759,1.0
85761,40.0
85762,1.0
85766,5.0
85768,1.0
85770,1.0
85771,1.0
85772,1.0
85773,1.0
85774,1.0
85775,1.0
85776,1.0
85777,1.0
85778,1.0
85780,1.0
85781,1.0
85782,1.0
85783,1.0
85784,1.0
85787,1.0
85788,1.0
85789,1.0
85790,1.0
85791,1.0
85792,1.0
85793,1.0
85794,1.0
85795,1.0
85797,1.0
85798,1.0
85799,60.0
85800,1.0
85801,1.0
85802,1.0
85805,1.0
85806,1.0
85814,2.0
85816,1.0
85817,1.0
85818,1.0
85819,1.0
85820,1.0
85822,1.0
85823,1.0
85825,1.0
85832,1.0
85833,1.0
85834,4.0
85835,1.0
85836,1.0
85837,1.0
85838,1.0
85839,1.0
85840,1.0
85842,1.0
85843,2.0
85844,1.0
85845,1.0
85846,1.0
85847,1.0
85848,1.0
85855,1.0
85856,1.0
85857,1.0
85859,1.0
85860,1.0
85861,2.0
85862,1.0
85863,111.0
85864,1.0
85866,1.0
85867,1.0
85870,1.0
85871,1.0
85872,1.0
85873,1.0
85876,1.0
85877,1.0
85922,1.0
85929,1.0
85931,1.0
85932,9.0
85933,1.0
85934,1.0
85935,1.0
85936,1.0
85937,1.0
85943,1.0
85944,1.0
85945,3.0
85946,8.0
85947,11.0
85948,1.0
85949,1.0
85950,2.0
85953,1.0
85958,12.0
85960,1.0
85961,1.0
85962,1.0
85963,1.0
85965,1.0
85966,1.0
85967,1.0
85968,1.0
85969,1.0
85970,24.0
85971,1.0
85972,1.0
85973,1.0
85976,3.0
85977,1.0
85981,1.0
85982,4.0
85985,1.0
85986,1.0
85987,1.0
85988,1.0
85989,1.0
85994,1.0
85995,1.0
85996,1.0
85997,1.0
85998,3.0
