Combo_ID,LEN
60001,32
83578,1
84067,1
84442,1
84455,1
84460,2
84598,1
84614,1
84626,1
84630,2
84633,2
84660,2
84676,1
84693,3
84717,1
84718,1
84734,1
84735,16
84741,1
84742,1
84772,1
84773,1
84784,1
84785,2
84786,3
84787,1
84806,1
84809,1
84810,1
84812,1
84814,1
84818,1
84821,1
84822,1
84823,1
84824,1
84825,1
84826,6
84828,1
84862,3
84923,1
84926,1
84945,1
84946,1
84951,1
84952,1
84953,1
84954,1
84955,1
84956,1
84957,1
84958,1
84964,1
84965,1
84966,1
84969,1
84970,1
84973,1
84975,1
84977,1
84978,1
84979,1
84981,1
84983,1
84986,3
84987,1
84989,1
84991,1
84992,1
84996,1
84997,1
84998,1
84999,2
85000,1
85002,1
85003,1
85004,1
85005,3
85007,1
85009,1
85010,1
85011,1
85012,1
85015,1
85016,1
85017,1
85018,1
85019,1
85021,1
85023,1
85026,1
85027,1
85028,1
85031,1
85032,1
85035,1
85036,1
85037,1
85038,1
85039,1
85040,1
85041,1
85043,1
85044,1
85045,1
85049,3
85050,1
85051,1
85056,1
85057,1
85059,1
85060,1
85061,1
85062,1
85063,1
85064,1
85065,1
85070,1
85073,1
85074,2
85084,1
85085,1
85086,1
85087,1
85088,1
85089,1
85090,1
85091,1
85092,1
85093,1
85096,1
85098,1
85099,1
85100,12
85102,1
85104,1
85105,1
85106,1
85107,1
85108,1
85109,1
85110,1
85112,1
85117,1
85118,4
85119,1
85120,1
85121,2
85122,1
85123,1
85124,1
85135,1
85139,1
85140,1
85141,1
85142,1
85143,1
85150,0
85154,1
85155,1
85156,1
85222,1
85223,1
85224,1
85226,1
85227,1
85228,1
85229,1
85230,1
85231,1
85238,1
85251,1
85252,7
85254,1
85255,1
85257,1
85258,1
85259,1
85260,1
85261,1
85263,1
85264,1
85266,1
85267,1
85270,4
85271,1
85272,1
85273,1
85274,1
85275,1
85276,1
85279,1
85280,1
85281,1
85282,1
85284,1
85285,1
85286,1
85288,1
85289,1
85291,1
85294,1
85295,1
85296,1
85297,1
85299,1
85300,1
85304,1
85305,2
85306,2
85307,1
85337,9
85338,1
85339,1
85340,1
85342,1
85345,2
85347,1
85350,1
85351,1
85352,1
85353,1
85354,1
85355,1
85358,21
85359,1
85361,1
85362,1
85363,1
85364,1
85365,1
85366,1
85367,1
85368,1
85369,1
85370,1
85371,1
85372,1
85373,1
85374,1
85375,1
85376,4
85377,2
85378,1
85379,1
85380,1
85381,1
85382,1
85385,1
85386,1
85390,1
85391,1
85392,2
85394,1
85395,4
85397,1
85398,1
85401,1
85402,5
85403,1
85408,1
85410,1
85425,1
85431,1
85435,1
85437,1
85438,1
85439,1
85440,1
85441,1
85443,1
85444,1
85446,1
85448,1
85449,1
85450,1
85451,1
85452,1
85454,1
85455,4
85458,1
85460,5
85461,1
85462,1
85463,1
85465,1
85466,1
85467,1
85469,2
85470,1
85471,2
85472,1
85473,1
85474,2
85475,2
85478,5
85480,1
85481,1
85482,1
85483,1
85484,1
85485,1
85486,1
85487,1
85492,1
85493,1
85494,1
85495,1
85496,1
85497,1
85498,1
85499,5
85502,4
85504,1
85506,1
85509,1
85510,1
85511,1
85512,2
85513,1
85515,1
85516,8
85517,3
85518,4
85520,2
85521,1
85523,1
85524,1
85525,1
85528,1
85529,1
85530,1
85532,1
85533,4
85534,1
85535,1
85539,1
85540,1
85541,1
85543,1
85544,1
85545,1
85546,1
85547,1
85548,1
85550,1
85551,1
85553,1
85554,1
85555,1
85556,1
85557,1
85558,1
85559,1
85560,1
85561,1
85562,1
85563,1
85564,1
85565,1
85566,1
85568,1
85573,1
85574,1
85575,1
85576,1
85577,1
85578,1
85579,1
85583,1
85584,1
85585,1
85586,1
85587,2
85589,1
85590,1
85591,1
85592,1
85593,1
85594,1
85595,1
85596,1
85598,28
85599,1
85600,1
85601,1
85602,5
85603,1
85604,1
85606,1
85608,1
85609,4
85610,1
85612,1
85613,1
85614,1
85615,1
85617,1
85618,1
85619,1
85620,1
85622,1
85647,1
85648,1
85651,1
85653,1
85654,1
85655,1
85656,1
85657,1
85659,1
85660,1
85662,1
85665,5
85666,1
85668,1
85669,1
85670,1
85671,1
85673,1
85674,1
85675,1
85676,1
85677,1
85678,4
85679,1
85680,1
85681,1
85683,2
85684,1
85685,3
85686,1
85688,1
85690,3
85691,1
85692,1
85694,1
85695,1
85696,1
85697,1
85698,1
85699,1
85700,1
85706,1
85708,1
85709,1
85710,1
85711,1
85712,1
85715,1
85719,1
85722,1
85723,1
85725,2
85727,1
85728,1
85729,1
85730,1
85731,1
85732,1
85733,1
85734,3
85735,1
85736,1
85738,1
85739,1
85740,1
85741,1
85742,1
85743,1
85744,1
85746,5
85747,1
85748,1
85750,1
85752,1
85753,1
85759,1
85761,40
85762,1
85766,5
85768,1
85770,1
85771,1
85772,1
85773,1
85774,1
85775,1
85776,1
85777,1
85778,1
85780,1
85781,1
85782,1
85783,1
85784,1
85787,1
85788,1
85789,1
85790,1
85791,1
85792,1
85793,1
85794,1
85795,1
85797,1
85798,1
85799,60
85800,1
85801,1
85802,1
85805,1
85806,1
85814,2
85816,1
85817,1
85818,1
85819,1
85820,1
85822,1
85823,1
85825,1
85832,1
85833,1
85834,4
85835,1
85836,1
85837,1
85838,1
85839,1
85840,1
85842,1
85843,2
85844,1
85845,1
85846,1
85847,1
85848,1
85855,1
85856,1
85857,1
85859,1
85860,1
85861,2
85862,1
85863,111
85864,1
85866,1
85867,1
85870,1
85871,1
85872,1
85873,1
85876,1
85877,1
85922,1
85929,1
85931,1
85932,9
85933,1
85934,1
85935,1
85936,1
85937,1
85943,1
85944,1
85945,3
85946,8
85947,11
85948,1
85949,1
85950,2
85953,1
85958,12
85960,1
85961,1
85962,1
85963,1
85965,1
85966,1
85967,1
85968,1
85969,1
85970,24
85971,1
85972,1
85973,1
85976,3
85977,1
85981,1
85982,4
85985,1
85986,1
85987,1
85988,1
85989,1
85994,1
85995,1
85996,1
85997,1
85998,3
85999,1
86000,1
86001,1
86002,1
86004,3
86005,1
86006,1
86010,1
86012,1
86013,1
86014,1
86015,1
86016,1
86019,1
86020,1
86022,1
86023,1
86024,1
86025,4
86026,1
86027,1
86028,1
86029,1
86030,1
86031,1
86032,1
86033,1
86034,1
86035,1
86036,1
86037,1
86038,1
86039,1
86040,1
86056,1
86057,1
86058,1
86061,1
86062,1
86063,6
86064,1
86066,1
86067,1
86068,1
86070,1
86073,1
86074,1
86075,1
86076,1
86077,1
86078,6
86079,3
86081,1
86083,1
86084,1
86088,1
86089,1
86090,1
86091,1
86092,1
86094,1
86095,1
86096,1
86097,1
86098,1
86099,1
86100,1
86101,1
86102,1
86105,6
86106,1
86107,1
86108,1
86113,3
86114,1
86116,1
86117,1
86119,1
86120,1
86122,1
86123,1
86125,1
86126,1
86127,1
86130,1
86131,1
86132,1
86133,1
86134,1
86137,1
86138,1
86139,1
86141,1
86142,1
86143,1
86144,1
86145,1
86146,1
86147,1
86148,1
86149,1
86150,1
86151,1
86152,1
86153,1
86154,1
86155,1
86156,1
86157,1
86158,27
86160,1
86162,1
86163,8
86164,1
86165,1
86166,1
86167,1
86169,1
86171,1
86172,1
86173,1
86176,1
86179,1
86180,1
86181,1
86183,1
86184,1
86185,1
86187,1
86188,1
86189,1
86190,1
86192,1
86193,1
86195,1
86196,1
86198,1
86199,1
86200,1
86201,1
86202,1
86203,1
86205,1
86207,1
86208,1
86209,1
86210,1
86211,1
86212,1
86213,1
86214,1
86215,2
86219,0
86238,1
86240,1
86241,1
86247,2
86251,1
86253,8
86254,6
86255,1
86256,1
86257,6
86259,1
86261,5
86262,1
86266,1
86267,1
86269,1
86270,1
86271,1
86272,1
86273,1
86275,1
86276,1
86278,1
86279,1
86280,33
86281,2
86283,1
86287,1
86288,1
86289,1
86290,1
86291,1
86292,1
86293,1
86295,1
86296,1
86297,1
86298,1
86300,5
86301,1
86302,1
86303,1
86304,1
86305,1
86306,1
86307,1
86308,1
86309,1
86310,1
86311,1
86312,1
86313,1
86314,1
86315,1
86333,1
86335,1
86336,1
86337,1
86338,1
86341,1
86342,1
86343,1
86344,1
86346,1
86348,1
86349,1
86352,1
86354,1
86356,1
86358,1
86363,1
86368,2
86370,1
86373,1
86375,1
86376,1
86377,1
86380,1
86381,1
86382,1
86383,1
86384,1
86385,1
86386,1
86387,1
86388,1
86389,2
86390,5
86391,1
86395,1
86396,1
86397,1
86399,1
86401,1
86402,1
86404,1
86405,1
86408,1
86409,1
86410,1
86411,1
86413,1
86415,1
86416,1
86417,1
86419,1
86420,1
86421,1
86422,1
86423,1
86424,1
86425,1
86426,1
86427,1
86429,1
86430,1
86431,1
86436,1
86438,1
86439,1
86440,1
86441,7
86444,1
86445,3
86446,1
86447,1
86448,1
86449,1
86450,1
86451,1
86461,1
86462,1
86469,1
86470,1
86472,1
86475,1
86476,1
86477,1
86480,4
86481,1
86482,1
86484,1
86485,1
86489,3
86490,1
86491,1
86492,1
86493,1
86494,1
86495,1
86496,1
86497,1
86498,1
86499,1
86500,1
86501,1
86502,1
86503,1
86504,1
86505,1
86507,2
86508,1
86509,1
86510,1
86511,1
86512,1
86514,1
86521,1
86522,1
86523,1
86524,1
86525,1
86526,1
86527,1
86528,5
86530,1
86533,1
86534,1
86535,1
86537,1
86538,1
86539,1
86540,1
86541,1
86542,1
86543,1
86544,1
86545,1
86546,1
86547,1
86548,1
86549,1
86550,1
86551,1
86552,1
86557,1
86599,1
86600,1
86601,1
86602,6
86603,1
86604,1
86605,6
86606,1
86607,1
86608,1
86609,1
86610,1
86611,1
86612,2
86613,4
86614,1
86615,1
86616,1
86617,1
86618,1
86619,1
86621,1
86623,1
86624,1
86625,1
86626,1
86627,1
86628,1
86629,3
86630,1
86631,1
86632,1
86633,1
86634,1
86635,1
86636,1
86637,1
86639,5
86641,5
86642,51
86643,4
86644,1
86646,1
86647,1
86681,1
86682,1
86683,1
86684,1
86685,1
86686,1
86688,1
86689,1
86691,1
86692,3
86693,1
86694,1
86697,3
86699,1
86700,1
86701,1
86702,1
86703,1
86706,1
86707,1
86708,1
86709,1
86710,5
86712,3
86713,1
86714,1
86715,6
86716,1
86718,1
86721,1
86722,1
86723,1
86724,1
86725,1
86726,1
86727,1
86729,1
86730,1
86731,1
86733,1
86735,1
86736,1
86737,1
86738,1
86739,1
86740,1
86741,1
86742,1
86743,1
86745,1
86746,1
86747,1
86748,1
86749,1
86750,1
86751,1
86753,1
86754,3
86755,1
86759,4
86760,1
86761,1
86762,1
86763,1
86764,1
86766,1
86767,1
86768,1
86769,1
86771,1
86772,1
86773,1
86774,1
86775,1
86776,1
86777,1
86778,8
86779,1
86781,5
86783,1
86784,1
86787,2
86788,1
86789,1
86792,4
86793,4
86794,1
86795,3
86799,1
86800,1
86801,1
86805,1
86807,1
86808,1
86809,1
86812,1
86813,7
86817,1
86818,1
86819,1
86821,1
86822,1
86823,1
86825,1
86826,1
86827,1
86828,1
86829,4
86830,9
86831,1
86832,1
86833,1
86834,1
86835,10
86836,1
86837,1
86838,1
86840,1
86841,1
86842,1
